site_name,uk_beis_id,operator,region,country,electrical_capacity_mw
Keadby Wind Farm,4260,Scottish and Southern Energy (SSE),Yorkshire and Humber,England,68.0
Little Cheyne Court Wind Farm,3096,RWE npower,South East,England,59.8
Tween Bridge Windfarm,3928,E.ON Renewables,Yorkshire and Humber,England,44.0
Sixpenny Wood Windfarm,3942,Greencoat UK Wind,Yorkshire and Humber,England,33.0
Goole Fields,4373,RWE npower,Yorkshire and Humber,England,32.8
Twin Rivers,3657,NTR,Yorkshire and Humber,England,28.7
Bicker Fen,3128,Wind Prospect,East Midlands,England,26.7
Wryde Croft,4248,Renewable Energy Systems (RES),Eastern,England,26.0
Hall Farm Routh,3948,John Laing Environmental Assets Group/REG Power Management,Yorkshire and Humber,England,24.6
Red Tile,3608,Wind Prospect Developments,Eastern,England,24.0
Middlewick wind farm,4662,Blue Energy (formerly Ridgewind Ltd),Eastern,England,20.7
Bradwell Wind Farm (Repower),3936,Npower Renewables,Eastern,England,20.0
Stags Holt,3129,Powergen / Wind Prospects,Eastern,England,18.0
Turncole Wind Farm,4067,RES/ Aviva,Eastern,England,17.5
Roos Wind Farm (Resubmission),3835,Renewable Energy Systems (RES),Yorkshire and Humber,England,17.1
Bishopthorpe,4256,Greencoat UK (formerly BayWa r.e.),East Midlands,England,16.4
Gayton Le Marsh Wind Farm,4369,Energiekontor UK,East Midlands,England,16.4
Deeping St Nicholas Wind Farm,3609,Wind Prospect Developments,East Midlands,England,16.4
Glass Moor,3132,Fenland Windfarms Ltd,Eastern,England,16.0
Coldham,3607,Wind Prospect / TXU,Eastern,England,16.0
Fen Farm,3449,Ecotricity,East Midlands,England,16.0
Whitemill Wind Farm,3480,Co-operative Energy,Eastern,England,14.0
Coldham Hall,3479,Co-op,Eastern,England,14.0
Glass moor Extension,3765,EDF/China General Nuclear Power Corporation,Eastern,England,12.0
Boardinghouse Wind Farm,4345,Ecogen,Eastern,England,10.3
Bambers Farm,3157,Ecotricity,East Midlands,England,9.6
Ramsey Wind Farm Extension,4414,REG Windpower,Eastern,England,8.0
Far Marsh Farm (Resubmission),4660,Private Developer,Yorkshire and Humber,England,7.5
Shepham Lane (Resubmission),4326,Foresight,South East,England,7.5
Burnt House Farm,3686,Fivestone Ltd,Eastern,England,6.0
Ranson Moor (phase 1),2952,Fenpower Limited,Eastern,England,6.0
Newton Marsh Wind Project,3827,TCI Renewables,East Midlands,England,4.6
Bambers II,2715,,East Midlands,England,4.6
French Farm (resubmission),4637,REG Windpower (previously Cornwall Light and Power),Eastern,England,4.0
Ranson Moor Wind Farm (Phase 2),2953,EcoGen Projects / Fenpower,Eastern,England,4.0
Blyth Harbour Wind Farm,3659,Border Wind Farms Ltd,North East,England,2.7
MARCH SEWAGE TREATMENT WORKS - WIND TURBINE,2875,TCI Renewables,Eastern,England,2.0
Stags Holt Extension,3741,E.ON UK,Eastern,England,2.0
The Limes Wind Turbines,3807,Broadview Energy,Yorkshire and Humber,England,1.7
Greenvale AP Wind Turbine - resubmission,4374,Greenvale AP,Eastern,England,1.5
K L Technologies Wind Turbine,3842,KL Technology Limited,Eastern,England,1.5
