electrical_capacity,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology,data_source,nuts_1_region,nuts_2_region,nuts_3_region,lon,lat,municipality,postcode,address,region,country,commissioning_date,solar_mounting_type,chp,capacity_individual_turbine,number_of_turbines,site_name,uk_beis_id,operator,comment,Affected_1m,Affected_2m,Affected_3m,Priority_Score,Priority_Save
24.0,Renewable energy,Wind,,Onshore,BEIS,UKH,UKH1,UKH12,-0.02924296499763,52.4305325471703,Cambridgeshire,,Land Adjacent to Broadpool FarmHigh Fen Straight DroveWarboysHuntingdon,Eastern,England,2006/01/12,,,2.0,12,Red Tile,3608,Wind Prospect Developments,,1,1,1,24.0,1
26.7,Renewable energy,Wind,,Onshore,BEIS,UKF,UKF3,UKF30,-0.21781497556681,52.9379447309861,Lincolnshire,,"Bicker Fen, Bicker, Boston, Lincolnshire",East Midlands,England,2008/07/28,,,2.0,13,Bicker Fen,3128,Wind Prospect,,1,0,1,26.7,1
59.8,Renewable energy,Wind,,Onshore,BEIS,UKJ,UKJ4,UKJ44,0.82273678248934,50.9638231135346,Kent,,"Little Cheyne Court, Romney MarshNear LyddKent",South East,England,2009/01/06,,,2.3,26,Little Cheyne Court Wind Farm,3096,RWE npower,,1,0,1,59.8,1
44.0,Renewable energy,Wind,,Onshore,BEIS,UKE,UKE3,UKE31,-0.93559025759997,53.6223019372014,South Yorkshire,DN8 5,"Tween Bridge, Thorne, Doncaster, South Yorks",Yorkshire and Humber,England,2012/02/27,,,2.0,22,Tween Bridge Windfarm,3928,E.ON Renewables,,1,1,1,44.0,1
24.6,Renewable energy,Wind,,Onshore,BEIS,UKE,UKE1,UKE12,-0.36087919358626,53.8736649855393,Humberside,,"Land North Of, Hall Farm Acc Rd To Crowshore Plantation, Routh, East Riding Of Yorkshire, HU17 9SL",Yorkshire and Humber,England,2013/05/28,,,2.05,12,Hall Farm Routh,3948,John Laing Environmental Assets Group/REG Power Management,,1,1,1,24.6,1
33.0,Renewable energy,Wind,,Onshore,BEIS,UKE,UKE1,UKE12,-0.81138178683216,53.7379863316797,Humberside,,"Between Eastrington, Gilberdyke, Kilpin and Laxton",Yorkshire and Humber,England,2013/07/15,,,3.3,10,Sixpenny Wood Windfarm,3942,Greencoat UK Wind,,1,0,1,33.0,1
32.8,Renewable energy,Wind,,Onshore,BEIS,UKE,UKE1,UKE12,-0.88928295088218,53.665925824349,Humberside,,"Goole Fields Parish , East Riding of Yorkshire",Yorkshire and Humber,England,2014/11/08,,,2.05,16,Goole Fields,4373,RWE npower,,1,0,1,32.8,1
68.0,Renewable energy,Wind,,Onshore,BEIS,UKE,UKE1,UKE13,-0.76368539028363,53.6117959989842,Humberside,,Near TeadbyNear ScunthorpeLincolnshire,Yorkshire and Humber,England,2015/02/26,,,2.0,34,Keadby Wind Farm,4260,Scottish and Southern Energy (SSE),,1,1,1,68.0,1
26.0,Renewable energy,Wind,,Onshore,BEIS,UKH,UKH1,UKH11,-0.03231939612301,52.6421927715961,Cambridgeshire,,"Nutsgrove, South of Thorney.",Eastern,England,2016/02/20,,,2.0,13,Wryde Croft,4248,Renewable Energy Systems (RES),,1,1,1,26.0,1
28.7,Renewable energy,Wind,,Onshore,BEIS,UKE,UKE3,UKE31,-0.90503628593289,53.6081837551976,Humberside,,"Moor Lane, Whitgift, East Riding of Yorkshire",Yorkshire and Humber,England,2016/03/08,,,2.05,14,Twin Rivers,3657,NTR,,1,1,1,28.7,1
